CardImageURLs:	
promo/gamechampion.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/promo/gamechampion.jpg
set1/01_adback.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/01_adback.jpg
set1/01_tpc.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/01_tpc.jpg
set1/01_zlp.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/01_zlp.jpg
set1/ArrowBlow.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/arrowblow.jpg
set1/Avenger.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/avenger.jpg
set1/BattleBow.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/battlebow.jpg
set1/BattleShield.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/battleshield.jpg
set1/BellflowerRoot.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/bellflowerroot.jpg
set1/BlackRobinHat.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/blackrobinhat.jpg
set1/BlockGolem.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/blockgolem.jpg
set1/BloodSlain.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/bloodslain.jpg
set1/BlueDiros.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/bluediros.jpg
set1/BlueNightfox.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/bluenightfox.jpg
set1/Buffy.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/buffy.jpg
set1/Cerebes.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/cerebes.jpg
set1/ChiefGray.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/chiefgray.jpg
set1/Cico.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/cico.jpg
set1/CoconutKnife.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/coconutknife.jpg
set1/Croco.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/croco.jpg
set1/CurseEye.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/curseeye.jpg
set1/DarkAxeStump.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/darkaxestump.jpg
set1/DarkShadow.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/darkshadow.jpg
set1/Doombringer.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/doombringer.jpg
set1/DoubleStrike.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/doublestrike.jpg
set1/Drake.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/drake.jpg
set1/EmeraldEarrings.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/emeraldearrings.jpg
set1/EnergyBolt.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/energybolt.jpg
set1/EvilTale.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/eviltale.jpg
set1/Fairy.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/fairy.jpg
set1/FireBoar.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/fireboar.jpg
set1/Focus.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/focus.jpg
set1/GoldenCrow.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/goldencrow.jpg
set1/GreenMushroom.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/greenmushroom.jpg
set1/GreenTrixter.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/greentrixter.jpg
set1/Grizzly.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/grizzly.jpg
set1/Heal.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/heal.jpg
set1/Hector.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/hector.jpg
set1/HornedMushroom.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/hornedmushroom.jpg
set1/ItemTrade.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/itemtrade.jpg
set1/Ivan.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/ivan.jpg
set1/JrBoogie.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/jrboogie.jpg
set1/JrNecki.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/jrnecki.jpg
set1/JrYeti.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/jryeti.jpg
set1/KnowledgeIsPower.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/knowledgeispower.jpg
set1/Krappy.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/krappy.jpg
set1/Krip.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/krip.jpg
set1/KumbiThrowingStar.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/kumbithrowingstar.jpg
set1/Lioner.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/lioner.jpg
set1/Lorang.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/lorang.jpg
set1/Lucida.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/lucida.jpg
set1/LunarPixie.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/lunarpixie.jpg
set1/MagicClaw.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/magicclaw.jpg
set1/MapleStaff.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/maplestaff.jpg
set1/Maya.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/maya.jpg
set1/Meditation.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/meditation.jpg
set1/Mistmoon.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/mistmoon.jpg
set1/MPEater.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/mpeater.jpg
set1/Nixie.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/nixie.jpg
set1/Octopus.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/octopus.jpg
set1/OfficerSkeleton.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/officerskeleton.jpg
set1/OrangeMushroom.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/orangemushroom.jpg
set1/Panda.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/panda.jpg
set1/PeachMonkey.jpg	https://raw.githubusercontent.com/wishmstr/MapleStory/main/sets/setimages/Set1/peachmonkey.jpg
