Name	Set	ImageFile	Class	Level	Attack	HP	Type	Type2	Text	 Text2 	 Text3 	Rarity	Number
Arrow Blow	Set1	arrowblow	Bowman	10	 	 	Tactic	Skill	Do 30 damage to a character or monster.	 50B Spawn / Think Fast 40 -- Play a Monster or tactic of level 40 or less. 	   	C	1001
Battle Bow	Set1	battlebow	Bowman	25	 	 	Item	Weapon	Get +20 on damage you do with one of your character actions each turn.	 OS: Critical Shot -- Flip a coin. If you win, do damage equal to your level to a character or monster. 	   	U	1002
Black Robin Hat	Set1	blackrobinhat	Bowman	20	 	 	Item	Armor	Each of your Flying monsters gets +10 attack.	 60BB Tricky Shot -- Do 20 damage to a character or monster. 	   	C	1003
Blue Diros	Set1	bluediros	Bowman	20	 	 	Item	Armor	The first monster that attacks you each turn gets -10 attack until end of turn.	 30BB Equip 30 -- Play an equip of level 30 or less. 	   	C	1004
Cerebes	Set1	cerebes	Bowman	72	70	70	Monster	Dog	Earthquake -- Whenever a monster damages Cerebes, do 40 damage to that monster.	 80BB Spawn / Equip 120 -- Play a monster or item of level 120 or less. 	   	R	1005
Curse Eye	Set1	curseeye	Bowman	35	30	40	Monster	Worm	 	 50BB Spawn / Think Fast 40 -- Play a monster or tactic of level 40 or less. 	   	C	1006
Drake	Set1	drake	Bowman	50	30	40	Monster	Fire Dragon	Chomp -- When you play Drake, do 30 damage to a character or monster.	 80BBB Deadly Shot -- Do 30 damage to a character or monster. 	   	R	1007
Fairy	Set1	fairy	Bowman	30	30	20	Monster	Flying Fairy	Hide -- Whenever your opponent levels up, return Fairy to your hand.	 30BB Spawn 30 -- Play a monster of level 30 or less. 	   	U	1008
Focus	Set1	focus	Bowman	20	 	 	Tactic	Skill	Get +50 damage you do with the next character action or monster attack this turn.	 40BB Think Fast 40 -- Play a tactic of level 40 or less. 	   	R	1009
Golden Crow	Set1	goldencrow	Bowman	60	 	 	Item	Weapon	Double the damage of one of your character actions each turn.	 50BB No Mercy -- Do 10 damage to a character or monster. If that damage destroys a monster do this action again. 	   	R	1010
Green Trixter	Set1	greentrixter	Bowman	28	20	20	Monster	Pest	Sting -- When you play Green Trixter, do 10 damage to a character or monster.	 20B Easy Shot -- Do 10 damage to a character or monster. 	   	C	1011
Hector	Set1	hector	Bowman	55	50	50	Monster	Wolf	Pack Hunt -- Monsters that attack on the turn you play Hector each get +10 attack until end of turn (including Hector).	 60BB Spawn 70 -- Play a monster of level 70 or less. 	   	C	1012
Horned Mushroom	Set1	hornedmushroom	Bowman	22	20	40	Monster	Mushroom	 	 40BB Spawn / Equip 30 -- Play a monster or item of level 30 or less. 	   	C	1013
Jr. Boogie	Set1	jrboogie	Bowman	35	30	30	Monster	Flying Spook	Stealthy -- Monsters can't attack Jr. Boogie.	 OS: Revive -- Return a monster of level 30 or less from your discard pile to your hand. 	   	C	1014
Lunar Pixie	Set1	lunarpixie	Bowman	45	40	20	Monster	Flying Spook	Stealthy -- Monsters can't attack Lunar Pixie. Haunt -- When you play Lunar Pixie, do 20 damage to a character or monster.	 OS: Revive -- Return a monster of level 30 or less from your discard pile to your hand. 	   	R	1015
Nixie	Set1	nixie	Bowman		 	200	Character	Archer	10B Easy Shot -- Do 10 damage to a character or monster	 20 Quest -- Draw a card 	 50BB Tricky Shot -- Do 20 damage to a character or monster. 	C	1016
Platoon Chronos	Set1	platoonchronos	Bowman	41	30	40	Monster	Undead Spook	Stealthy -- Monsters can't attack Platoon Chronos.	 OS: Revive -- Return a monster of level 30 or less from your discard pile to your hand. 	   	U	1017
Power Knock-Back	Set1	powerknockback	Bowman	40	 	 	Tactic	Skill	Put one of your opponent's monsters into his or her deck under the top card.	 60BB Tricky Shot -- Do 20 damage to a character or monster. 	   	U	1018
Rain Of Arrows	Set1	rainofarrows	Bowman	40	 	 	Tactic	Strategy	For each card in your opponent's hand, do 20 damage to a character or monster.	 OS: Steady Hand -- If you're level 50 or more, get +10 damage you do with character actions until the end of turn. 	   	R	1019
Risky Shot	Set1	riskyshot	Bowman	40	 	 	Tactic	Strategy	Flip a coin. If you win, do damage equal to your level to a character and draw a card.	 60BB Think Fast / Equip 50 -- Play a tactic or item of level 50 or less. 	   	U	1020
Skyhawk	Set1	skyhawk	Bowman		 	210	Character	Ranger	10B Easy Shot -- Do 10 damage to a character or monster.	 10 Quest -- Draw a card. 	 60BB Rapid Shot -- Do 20 damage to a monster. Then do 20 damage to a character. 	R	1021
Soul Arrow	Set1	soularrow	Bowman	30	 	 	Tactic	Skill	Do 40 damage to a character or a monster. Draw a card. Then discard a card from your hand.	 20B Easy Shot -- Do 10 damage to a character or monster. 	   	C	1022
Stirge	Set1	stirge	Bowman	20	30	20	Monster	Flying Bat	 	 60B Spawn / Equip 50 -- Play a monster or item of level 50 or less. 	   	U	1023
Tweeter	Set1	tweeter	Bowman	39	20	40	Monster	Flying Bird	Revenge -- Whenever your opponent plays a monster, item, or tactic, do 20 damage to his or her character.	 60BB Tricky Shot -- Do 20 damage to a character or monster. 	   	U	1024
Bellflower Root	Set1	bellflowerroot	Magician	53	40	60	Monster	Flora	 	 50MM Think Fast / Equip 50 -- Play a tactic or equip of level 50 or less. 	   	U	1025
